Машина легко может быть отремонтирована.;;;Das Auto lässt sich leicht reparieren.;Das Auto kann leicht reperiert werden.;;Машина легко может быть отремонтирована.;;
Окно может быть тихо закрыто.;;;Das Fenster lässt sich leise schliesen.;Das Fenster kann leise geslossen werden.;;Окно может быть тихо закрыто.;;
Пятно может быть быстро удалено.;;;Der Fleck lässt sich schnell entfernen.;Der Fleck kann schnell entfernt werden.;;Пятно может быть быстро удалено.;;
Цена за эту кухню не может быть оплачена.;;;Der Preis für diese Küche ist nicht zu bezahlen.;Der Preis für diese Küche kann nicht bezachlt werden.;;Цена за эту кухню не может быть оплачена.;;
Кухня должна убираться каждый день.;;;Die Küche ist täglich aufzuräumen.;Die Küche muss täglich aufgeräumt werden.;;Кухня должна убираться каждый день.;;
Эта дверь должна по вечерам всегда зарываться.;;;Diese Tür ist abends immer abzuschließen.;Diese Tür muss abends immer abgeschlossen werden.;;Эта дверь должна по вечерам всегда зарываться.;;
Этот текст невозможно понять.;;;Dieser Text ist nicht zu verstehen.;Dieser Text kann nicht verstanden werden.;;Этот текст невозможно понять.;;
Это задание невозможно сделать.;;;Diese Aufgabe ist nicht zu schaffen.;Diese Aufgabe kann nicht geschafft werden.;;Это задание невозможно сделать.;;
Эта работа должна быть выполнена еще сегодня до вечера.;;;Diese Arbeit ist noch bis heute Abent zu erledigen.;Diese Arbeit muss noch bis heute Abend erledigt werden.;;Эта работа должна быть выполнена еще сегодня до вечера.;;
"Проблема ""решабельна"".";;;Das Problem ist lösbar.;Das Problem kann leicht gelöst werden.;;"Проблема ""решабельна"".";;
"Испанский легко ""выучивем"".";;;Spanisch ist leicht erlernbar.;Spanisch kann leicht erlernt werden.;;"Испанский легко ""выучивем"".";;
"Эти слова легко ""понимабельны"".";;;Deine Worte sind leicht verständlich.;Deine Worte können liecht verstanden werden.;;"Эти слова легко ""понимабельны"".";;
моя тема 1;;0;null;;;моя тема 1;;0
почему ты приехал сюда так быстро?;это причина почему я сюда пришел;;Weshalb bist du so zeitig hierher gekommen?;das ist der Grund weshalb ich herkamm.;;почему ты приехал сюда так быстро?;это причина почему я сюда пришел;
ты можешь доказать что сказаное тобой правда?;;;kannst du beweisen dass es wahr ist was du gesagt hast?;;;ты можешь доказать что сказаное тобой правда?;;
поэтому его время на поместили в камеру чтобы он протрезвел, а затем выпустили;;;zur Ausnüchterung kam er demnach vorübergehend in eine Zelle und wurde später entlassen;;;поэтому его время на поместили в камеру чтобы он протрезвел, а затем выпустили;;
таким образом оба продолжают бодро развиваться;;;beides schreitet demnach weiter flott voran;;;таким образом оба продолжают бодро развиваться;;
он уютно устроился в углу читать;;;er hat sich zum Lesen in eine Ecke gekuschelt;;;он уютно устроился в углу читать;;
к тому же жёлтые детали украшают рукава и шею;;;zudem zieren gelbe Details die Ärmel und den Hals;;;к тому же жёлтые детали украшают рукава и шею;;
ziehen sich означает вести себя неестественно и скованно;;;zieren sich bedeutet sich unnatürlich und gespreizt benehmen;;;ziehen sich означает вести себя неестественно и скованно;;
это звучит немного искусственно, когда мы говорим о рефлексии подразумеваем при этом размышление;;;es klingt etwas gekünstelt, wenn wir vom Reflektieren reden und dabei das Nachdenken meinen;;;это звучит немного искусственно, когда мы говорим о рефлексии подразумеваем при этом размышление;;
в каком городе проходит экзамен на права?;;;In welcher Stadt findet die Führerscheinprüfung statt?;;;в каком городе проходит экзамен на права?;;
я начинаю;;;ich fang mal an;;;я начинаю;;
Flick только продолжает в этом отношении идею своего предшественника;;;Flick führt die Idee seines Vorgängers insoweit nur fort;;;Flick только продолжает в этом отношении идею своего предшественника;;
Поэтому в этом отношении нельзя предоставить дополнительную информацию;;;weitere Auskünfte können insoweit daher nicht erteilt werden;;;Поэтому в этом отношении нельзя предоставить дополнительную информацию;;
что у тебя на уме? что тебе мерещится?;;;was schwebt dir vor?;;;что у тебя на уме? что тебе мерещится?;;
в этом что-то есть;;;das hat was für sich;;;в этом что-то есть;;
пережить приключения не выходя из дома;;;von zu Hause aus Abenteuer erleben;;;пережить приключения не выходя из дома;;
Вы можете забрать все документы?;;;bist du sämtliche Dokumente suchen?;;;Вы можете забрать все документы?;;
То, что она создает сейчас, еще никогда не было сделано раньше.;;;Was sie gerade schafft, gab es so noch nie;;;То, что она создает сейчас, еще никогда не было сделано раньше.;;
нигде так не хорошо как здесь;;;nirgends haben wir es so gut;;;нигде так не хорошо как здесь;;
меня возмущает это наглость, бессовестность, несправедливость, ложь и невежество;;;ich bin entrüstet über diese Unverschämtheit, Gewissenlosigkeit, Ungerechtigkeit, Verlogenheit und Unwissenheit;;;меня возмущает это наглость, бессовестность, несправедливость, ложь и невежество;;
меня сильно возмутило то, как с ней обращались;;;es hat mich stark entrüstet, wie man mit ihr Verfahren ist;;;меня сильно возмутило то, как с ней обращались;;
Дети ноют, не знают, чем себя занять;;;die Kinder quengeln, wissen nicht, was sie mit sich anfangen sollen;;;Дети ноют, не знают, чем себя занять;;
Мы считаем это неприемлемым бременем на церквях;;;das halten wir für eine undzumutbare Belastung für die Kirchen;;;Мы считаем это неприемлемым бременем на церквях;;
каждый заверяет, что это его не касается, но всё равно очень переживает;;;jeder beteuert, dass es ihn nicht betreffe, ist aber doch sehr beunruhigt;;;каждый заверяет, что это его не касается, но всё равно очень переживает;;
противодействовать усилению конкуренции и значительно сократить затраты;;;verschärften Wettbewerb entgegenwirken und die Kosten erheblich reduzieren;;;противодействовать усилению конкуренции и значительно сократить затраты;;
у вас просто нет фантазии;;;ihr habt eben keine Fantasie;;;у вас просто нет фантазии;;
Повелительное наклонение;;0;null;;;Повелительное наклонение;;0
будь осторожен сегодня;Будьте осторожны сегодня;Будьте Вы осторожны сегодня;sei heute vorsichtig;Seid heute vorsichtig;Seien sie heute vorsichtig;будь осторожен сегодня;Будьте осторожны сегодня;Будьте Вы осторожны сегодня
будь спокоен;будьте спокойны;будьте Вы спокойны;sei ruhig;seid ruhig;seien Sie ruhig;будь спокоен;будьте спокойны;будьте Вы спокойны
будь всегда отважен;будьте всегда отважны;будьте Вы всегда отважны;sei immer tapfer;seid immer tapfer;seien Sie immer tapfer;будь всегда отважен;будьте всегда отважны;будьте Вы всегда отважны
не бойся;не бойтесь;Вы не бойтесь;hab keine Angst;habt keine Angst;haben sie keine Angst;не бойся;не бойтесь;Вы не бойтесь
имей мужество;имейте мужество;имейте Вы мужество;habe den Mut;habt den Mut;haben Sie den Mut;имей мужество;имейте мужество;имейте Вы мужество
танцуй хорошо;делай работу сегодня;стой здесь;Tanz gut;mach die Arbeit heute;Steh hier;танцуй хорошо;делай работу сегодня;стой здесь
прыгай высоко;работай каждый день;иди быстро;spring hoch;arbeite jeden Tag;geh schnell;прыгай высоко;работай каждый день;иди быстро
сиди тихо;открой дверь;слушай музыку;Sitz ruhig;öffne die Tür;hör die Musik;сиди тихо;открой дверь;слушай музыку
пой песню;напиши предложение;закажи пиццу;sind das Lied;schreib den Satz;bestell eine Pizza;пой песню;напиши предложение;закажи пиццу
купи машину;спроси учителя;ответь учителю;Kauf ein Auto;frag den Lehrer;antworte dem Lehrer;купи машину;спроси учителя;ответь учителю
ешь суп;иди быстрее;не упади;iss die Suppe;lauf schnell;Fall nicht;ешь суп;иди быстрее;не упади
возьми мою машину;не носи мою шляпу;говори громко;nimm mein Auto;trag meinen Hut nicht;sprich laut;возьми мою машину;не носи мою шляпу;говори громко
не спи сегодня;не забудь свою книгу;помой свою машину;Schlaf heute nicht;vergiss dein Buch nicht;wasch dein Auto;не спи сегодня;не забудь свою книгу;помой свою машину
помоги своему другу;едь осторожно;лови кошку;hilft deinem Freund;fahr vorsichtig;Fang die Katze;помоги своему другу;едь осторожно;лови кошку
читай книгу;помоги своим родителям;дай мне свою машину;lies das Buch;hilf deinen Eltern;gib mir dein Auto;читай книгу;помоги своим родителям;дай мне свою машину
моя 2;;0;null;;;моя 2;;0
из-за чего начальница приехала в офис на велосипед? из-за хорошей погоды.;;;Weswegen kommt die Chefin mit dem Fahrrad ins Büro? Wegen des schönen Wetters.;;;из-за чего начальница приехала в офис на велосипед? из-за хорошей погоды.;;
Я постараюсь сегодня смочь прийти;;;ich versuche heute kommen zu können;;;Я постараюсь сегодня смочь прийти;;
мы рады помочь вам помочь;;;wir freuen uns, Ihnen helfen zu können;;;мы рады помочь вам помочь;;
Я позволю тебе победить сегодня;;;ich lasse dich heute gewinnen;;;Я позволю тебе победить сегодня;;
Я очень сейчас играть на пианино;;;ich lerne gerade Klavier spielen;;;Я очень сейчас играть на пианино;;
не помогаю тебе учить немецкий;;;ich helfe dir Deutsch lernen;;;не помогаю тебе учить немецкий;;
я остаюсь лежать;;;ich bleibe liegen;;;я остаюсь лежать;;
какие философские теории кажутся тебе наиболее увлекательными?;;;Welche philosophischen Theorien findest du am faszinierendsten?;;;какие философские теории кажутся тебе наиболее увлекательными?;;
В чём здесь дело?;О чём здесь речь?;;Was geht es hier vor?;Worum geht es hier?;;В чём здесь дело?;О чём здесь речь?;
Я знаю это, поскольку я пришёл оттуда, откуда ты пришёл.;;;Ich weiß das, denn ich komme daher, wo du herkommst.;;;Я знаю это, поскольку я пришёл оттуда, откуда ты пришёл.;;
Ей много не везло. Оттуда её неудовлетворённость.;;;sie hat viele Pech gehabt. Daher kommt ihre Unzufriedenheit.;;;Ей много не везло. Оттуда её неудовлетворённость.;;
ты был на почте? да, оттуда Я сейчас иду.;;;Bist du auf der Post gewesen? Ja, daher komme ich gerade.;;;ты был на почте? да, оттуда Я сейчас иду.;;
вы всегда увлечены своим делом и всегда выкладываетесь на 100%;;;Sie sind stets mit Leidenschaft bei der Sache und geben immer 100%;;;вы всегда увлечены своим делом и всегда выкладываетесь на 100%;;
это сделано поэтому образцу (оригиналу);;;das ist von dieser Vorlage abgearbeitet;;;это сделано поэтому образцу (оригиналу);;
я избегаю того, чтобы заходить в этот район;;;Ich vermeide es, den Bereich zu betreten;;;я избегаю того, чтобы заходить в этот район;;
Subjektive Bedeutung von Modalverben, Futur 2 und dergleichen;;0;null;;;Subjektive Bedeutung von Modalverben, Futur 2 und dergleichen;;0
Он должен быть сейчас в оффисе (уверенность почти 100%);;;Er muss jetzt im Büro sein.;Er kann jetzt nur im Büro sein.;Er ist jetzt sicherlich im Büro.;Он должен быть сейчас в оффисе (уверенность почти 100%);;
Он должен был быть в бюро;;;Er muss im Büro gewesen sein.;;;Он должен был быть в бюро;;
Вы (множественное число) должно быть сейчас в офисе (уверенность около 80%);;;Ihr müsstet jetzt im Büro sein.;Ihr seid jetzt sehr wahrscheinlich im Büro.;;Вы (множественное число) должно быть сейчас в офисе (уверенность около 80%);;
Вы (множественное число), должно быть, были в офисе.;;;Ihr müsstet im Büro gewesen sein.;Ihr wart sehr wahrscheinlich im Büro.;;Вы (множественное число), должно быть, были в офисе.;;
Он наверное сейчас в офисе (уверенность около 75%);;;Er dürfte jetzt im Büro sein.;Er ist jetzt wahrscheinlich im Büro.;;Он наверное сейчас в офисе (уверенность около 75%);;
Он наверное был в офисе (уверенность около 75%);;;Er dürfte im Büro gewesen sein.;Er wird im Büro gewesen sein. (Futur 2);;Он наверное был в офисе (уверенность около 75%);;
Он может быть сейчас в офисе (уверенность около 50%);;;Er kann jetzt im Büro sein.;Er ist jetzt vielleicht im Büro.;;Он может быть сейчас в офисе (уверенность около 50%);;
Он мог бы быть сейчас в офисе (уверенность около 40%);;;Er könnte jetzt im Büro sein.;Er ist jetzt möglicherweise im Büro.;;Он мог бы быть сейчас в офисе (уверенность около 40%);;
Авось он сейчас в офисе (уверенность около 30%);;;Er mag jetzt im Büro sein.;Er ist jetzt vielleicht im Büro.;;Авось он сейчас в офисе (уверенность около 30%);;
Говорят, что Карлос поедет к своим родственникам в Испанию. (передача информации от другого лица);;;Karlos soll zu seinen Verwandten nach Spanien fahren.;;;Говорят, что Карлос поедет к своим родственникам в Испанию. (передача информации от другого лица);;
Говорят, что Карлос поехал к своим родственникам в Испанию. (передача информации от другого лица);;;Karlos soll zu seinen Verwandten nach Spanien gefahren sein.;;;Говорят, что Карлос поехал к своим родственникам в Испанию. (передача информации от другого лица);;
Мария, по ее словам, на каникулах останется дома. (доля сомнения в ее словах);;;Maria will in der Ferien zu Hause bleiben.;;;Мария, по ее словам, на каникулах останется дома. (доля сомнения в ее словах);;
Мария, по ее словам, на каникулах осталась дома. (доля сомнения в ее словах);;;Maria will in der Ferien zu Hause geblieben sein.;;;Мария, по ее словам, на каникулах осталась дома. (доля сомнения в ее словах);;
Я давное его уже не видел: наверное он улетел домой. Футур 2.;;;Ich habe ihn schon lange nocht mehr gesehen, wird er nach Hause geflogen sein.;;;Я давное его уже не видел: наверное он улетел домой. Футур 2.;;
Ты выдглядишь очень усталым: должно быть ты мало спал. Футур 2.;;;Du siehst sehr müde aus, du wirst wohl wenig geschlafen haben.;;;Ты выдглядишь очень усталым: должно быть ты мало спал. Футур 2.;;
Wortfamilie NEHMEN Verben;;0;null;;;Wortfamilie NEHMEN Verben;;0
Он принимает ванну.;;;Er nimmt ein Bad.;;;Он принимает ванну.;;
Пожалуйста, присаживайтесь!;;;Nehmen Sie bitte Platz!;;;Пожалуйста, присаживайтесь!;;
Он регулярно принимал лекарства.;;;Er nahm die Medikamente regelmäßig.;;;Он регулярно принимал лекарства.;;
Она взяла ребенка за руку.;;;Sie nahm das Kind bei der Hand.;;;Она взяла ребенка за руку.;;
Он взял слишком много сахара.;;;Er hat zu viel Zucker genommen.;;;Он взял слишком много сахара.;;
Она похудела на 5 кг.;;;Sie hat 5 Kilo abgenommen.;;;Она похудела на 5 кг.;;
Могу я взять у вас пальто?;;;Kann ich Ihnen den Mantel abnehmen?;;;Могу я взять у вас пальто?;;
Дни зимой становятся короче.;;;Die Tage nehmen im Winter ab.;;;Дни зимой становятся короче.;;
Я предполагаю, что он придет завтра.;;;Ich nehme an, dass er morgen kommt.;;;Я предполагаю, что он придет завтра.;;
Она приняла подарок.;;;Sie hat das Geschenk angenommen.;;;Она приняла подарок.;;
Супружеская пара хочет усыновить ребенка.;;;Das Ehepaar will ein Kind annehmen.;;;Супружеская пара хочет усыновить ребенка.;;
Университет принимает новых студентов.;;;Die Universität nimmt neue Studenten auf.;;;Университет принимает новых студентов.;;
Я записываю концерт.;;;Ich nehme das Konzert auf.;;;Я записываю концерт.;;
Он сделал красивый снимок пейзажа.;;;Er hat ein schönes Foto von der Landschaft aufgenommen.;;;Он сделал красивый снимок пейзажа.;;
Повар потрошит рыбу.;;;Der Koch nimmt den Fisch aus.;;;Повар потрошит рыбу.;;
Тебя я исключаю из правила.;;;Dich nehme ich von der Regel aus.;;;Тебя я исключаю из правила.;;
Дом хорошо выглядит.;;;Das Haus nimmt sich gut aus.;;;Дом хорошо выглядит.;;
Ты ведешь себя невозможно!;;;Du benimmst dich unmöglich!;;;Ты ведешь себя невозможно!;;
Дети хорошо себя вели.;;;Die Kinder haben sich gut benommen.;;;Дети хорошо себя вели.;;
Мы прорабатываем эту главу завтра.;;;Wir nehmen das Kapitel morgen durch.;;;Мы прорабатываем эту главу завтра.;;
Учитель тщательно проработал материал.;;;Der Lehrer hat den Stoff gründlich durchgenommen.;;;Учитель тщательно проработал материал.;;
Я ежедневно принимаю витамины.;;;Ich nehme täglich Vitamine ein.;;;Я ежедневно принимаю витамины.;;
Туристы заняли все места.;;;Die Touristen nahmen alle Plätze ein.;;;Туристы заняли все места.;;
Его личность располагает меня к нему.;;;Seine Persönlichkeit nimmt mich für ihn ein.;;;Его личность располагает меня к нему.;;
Из таблицы мы можем извлечь следующие данные.;;;Wir können der Tabelle folgende Daten entnehmen.;;;Из таблицы мы можем извлечь следующие данные.;;
Врач взял кровь.;;;Der Arzt hat Blut entnommen.;;;Врач взял кровь.;;
Идея была заимствована из романа.;;;Die Idee wurde einem Roman entnommen.;;;Идея была заимствована из романа.;;
Возьми с собой зонт!;;;Nimm einen Regenschirm mit!;;;Возьми с собой зонт!;;
Путешествие его очень утомило.;;;Die Reise hat ihn sehr mitgenommen.;;;Путешествие его очень утомило.;;
Мы берем на себя расходы.;;;Wir übernehmen die Kosten.;;;Мы берем на себя расходы.;;
Она переняла фирму от своего отца.;;;Sie hat die Firma von ihrem Vater übernommen.;;;Она переняла фирму от своего отца.;;
Она сделала всё, чтобы помочь.;;;Sie hat alles unternommen, um zu helfen.;;;Она сделала всё, чтобы помочь.;;
Полиция допросила свидетеля.;;;Die Polizei hat den Zeugen vernommen.;;;Полиция допросила свидетеля.;;
Как я слышу, он болен.;;;Wie ich vernehme, ist er krank.;;;Как я слышу, он болен.;;
Я намерен заниматься больше спортом.;;;Ich habe mir vorgenommen, mehr Sport zu treiben.;;;Я намерен заниматься больше спортом.;;
Правительство вносит (предпринимает, осуществляет) изменения в закон.;;;Die Regierung nimmt Änderungen am Gesetz vor.;;;Правительство вносит (предпринимает, осуществляет) изменения в закон.;;
Он отобрал у меня мою книгу.;;;Er hat mir mein Buch weggenommen.;;;Он отобрал у меня мою книгу.;;
Домашние задания отнимают много времени.;;;Die Hausaufgaben nehmen viel Zeit weg.;;;Домашние задания отнимают много времени.;;
Я набрал 3 кг за время каникул.;;;Ich habe in den Ferien 3 Kilo zugenommen.;;;Я набрал 3 кг за время каникул.;;
Значение интернета постоянно возрастает.;;;Die Bedeutung des Internets nimmt ständig zu.;;;Значение интернета постоянно возрастает.;;
Ветер усиливается.;;;Der Wind nimmt zu.;;;Ветер усиливается.;;
Многие люди приняли участие в демонстрации.;;;Viele Menschen nahmen an der Demonstration teil.;;;Многие люди приняли участие в демонстрации.;;
Wortfamilie NEHMEN Nomen;;0;null;;;Wortfamilie NEHMEN Nomen;;0
Снижение производства вызывает у нас беспокойство.;;;Die Abnahme der Produktion bereitet uns Sorgen.;;;Снижение производства вызывает у нас беспокойство.;;
Приёмка нового здания состоится на следующей неделе.;;;Die Abnahme des Neubaus findet nächste Woche statt.;;;Приёмка нового здания состоится на следующей неделе.;;
Ваше предположение неверно.;;;Ihre Annahme ist falsch.;;;Ваше предположение неверно.;;
Прием посылки осуществляется между 8 и 18 часами.;;;Die Annahme des Pakets erfolgt zwischen 8 und 18 Uhr.;;;Прием посылки осуществляется между 8 и 18 часами.;;
Прием в клуб бесплатный.;;;Die Aufnahme in den Verein ist kostenlos.;;;Прием в клуб бесплатный.;;
Запись альбома заняла два месяца.;;;Die Aufnahme des Albums dauerte zwei Monate.;;;Запись альбома заняла два месяца.;;
Это красивый снимок пляжа.;;;Das ist eine schöne Aufnahme vom Strand.;;;Это красивый снимок пляжа.;;
Нет правила без исключения.;;;Es gibt keine Regel ohne Ausnahme.;;;Нет правила без исключения.;;
Его поведение оставляет желать лучшего.;;;Sein Benehmen lässt zu wünschen übrig.;;;Его поведение оставляет желать лучшего.;;
Регулярный прием лекарств важен.;;;Die regelmäßige Einnahme der Medikamente ist wichtig.;;;Регулярный прием лекарств важен.;;
Доходы от концерта идут на благотворительные цели.;;;Die Einnahmen des Konzerts gehen an wohltätige Zwecke.;;;Доходы от концерта идут на благотворительные цели.;;
Забор воды из реки запрещен.;;;Die Entnahme von Wasser aus dem Fluss ist verboten.;;;Забор воды из реки запрещен.;;
Для снятия со счета вам нужен ваш PIN-код.;;;Für die Entnahme vom Konto benötigen Sie Ihre PIN.;;;Для снятия со счета вам нужен ваш PIN-код.;;
Взятие с собой домашних животных не разрешается.;;;Die Mitnahme von Haustieren ist nicht erlaubt.;;;Взятие с собой домашних животных не разрешается.;;
Еда на вынос.;;;Speisen zur Mitnahme.;;;Еда на вынос.;;
Поглощение фирмы предстоит в ближайшее время.;;;Die Übernahme der Firma steht kurz bevor.;;;Поглощение фирмы предстоит в ближайшее время.;;
Он отказался брать на себя ответственность.;;;Er lehnte die Übernahme der Verantwortung ab.;;;Он отказался брать на себя ответственность.;;
Он работает в международной компании.;;;Er arbeitet in einem internationalen Unternehmen.;;;Он работает в международной компании.;;
В компании работают 200 сотрудников.;;;Das Unternehmen hat 200 Mitarbeiter.;;;В компании работают 200 сотрудников.;;
Адвокат присутствовал на допросе.;;;Der Anwalt war bei der Vernehmung anwesend.;;;Адвокат присутствовал на допросе.;;
Проведение данной операции требует специальной подготовки.;;;Die Vornahme dieser Operation erfordert spezielle Ausbildung.;;;Проведение данной операции требует специальной подготовки.;;
Внесение необходимых изменений.;;;Die Vornahme der notwendigen Änderungen.;;;Внесение необходимых изменений.;;
Изъятие имущества без судебного постановления незаконно.;;;Die Wegnahme von Eigentum ohne gerichtlichen Beschluss ist illegal.;;;Изъятие имущества без судебного постановления незаконно.;;
После отнятия его игрушки ребенок заплакал.;;;Nach der Wegnahme seines Spielzeugs weinte das Kind.;;;После отнятия его игрушки ребенок заплакал.;;
Рост преступности вызывает беспокойство.;;;Die Zunahme der Kriminalität bereitet Sorgen.;;;Рост преступности вызывает беспокойство.;;
Большое спасибо за ваше участие!;;;Vielen Dank für Ihre Teilnahme!;;;Большое спасибо за ваше участие!;;
Китай является крупнейшим потребителем немецких автомобилей.;;;China ist der größte Abnehmer für deutsche Autos.;;;Китай является крупнейшим потребителем немецких автомобилей.;;
Как работник, вы имеете право на отпуск.;;;Als Arbeitnehmer hat man Anspruch auf Urlaub.;;;Как работник, вы имеете право на отпуск.;;
Как предприниматель, вы несете большую ответственность.;;;Als Unternehmer trägt man viel Verantwortung.;;;Как предприниматель, вы несете большую ответственность.;;
Предпринимательство поддерживается государством.;;;Das Unternehmertum wird vom Staat gefördert.;;;Предпринимательство поддерживается государством.;;
Управление предприятием находится в хороших руках.;;;Die Unternehmensführung liegt in guten Händen.;;;Управление предприятием находится в хороших руках.;;
Корпоративная культура отражает ценности компании.;;;Die Unternehmenskultur spiegelt die Werte der Firma wider.;;;Корпоративная культура отражает ценности компании.;;
Участники оживленно дискутировали.;;;Die Teilnehmer diskutierten lebhaft.;;;Участники оживленно дискутировали.;;
