beides schreitet demnach weiter flott voran;;;таким образом оба продолжают бодро развиваться;;
er hat sich zum Lesen in eine Ecke gekuschelt;;;он уютно устроился в углу читать;;
zudem zieren gelbe Details die Ärmel und den Hals;;;к тому же жёлтые детали украшают рукава и шею;;
zieren sich bedeutet sich unnatürlich und gespreizt benehmen;;;ziehen sich означает вести себя неестественно и скованно;;
es klingt etwas gekünstelt, wenn wir vom Reflektieren reden und dabei das Nachdenken meinen;;;это звучит немного искусственно, когда мы говорим о рефлексии подразумеваем при этом размышление;;
In welcher Stadt findet die Führerscheinprüfung statt?;;;в каком городе проходит экзамен на права?;;
ich fang mal an;;;я начинаю;;
Flick führt die Idee seines Vorgängers insoweit nur fort;;;Flick только продолжает в этом отношении идею своего предшественника;;
weitere Auskünfte können insoweit daher nicht erteilt werden;;;Поэтому в этом отношении нельзя предоставить дополнительную информацию;;
was schwebt dir vor?;;;что у тебя на уме? что тебе мерещится?;;
das hat was für sich;;;в этом что-то есть;;
von zu Hause aus Abenteuer erleben;;;пережить приключения не выходя из дома;;
bist du sämtliche Dokumente suchen?;;;Вы можете забрать все документы?;;
Was sie gerade schafft, gab es so noch nie;;;То, что она создает сейчас, еще никогда не было сделано раньше.;;
nirgends haben wir es so gut;;;нигде так не хорошо как здесь;;
ich bin entrüstet über diese Unverschämtheit, Gewissenlosigkeit, Ungerechtigkeit, Verlogenheit und Unwissenheit;;;меня возмущает это наглость, бессовестность, несправедливость, ложь и невежество;;
es hat mich stark entrüstet, wie man mit ihr Verfahren ist;;;меня сильно возмутило то, как с ней обращались;;
die Kinder quengeln, wissen nicht, was sie mit sich anfangen sollen;;;Дети ноют, не знают, чем себя занять;;
das halten wir für eine undzumutbare Belastung für die Kirchen;;;Мы считаем это неприемлемым бременем на церквях;;
jeder beteuert, dass es ihn nicht betreffe, ist aber doch sehr beunruhigt;;;каждый заверяет, что это его не касается, но всё равно очень переживает;;
verschärften Wettbewerb entgegenwirken und die Kosten erheblich reduzieren;;;противодействовать усилению конкуренции и значительно сократить затраты;;
ihr habt eben keine Fantasie;;;у вас просто нет фантазии;;
null;;;Повелительное наклонение;;0
sei heute vorsichtig;Seid heute vorsichtig;Seien sie heute vorsichtig;будь осторожен сегодня;Будьте осторожны сегодня;Будьте Вы осторожны сегодня
sei ruhig;seid ruhig;seien Sie ruhig;будь спокоен;будьте спокойны;будьте Вы спокойны
sei immer tapfer;seid immer tapfer;seien Sie immer tapfer;будь всегда отважен;будьте всегда отважны;будьте Вы всегда отважны
hab keine Angst;habt keine Angst;haben sie keine Angst;не бойся;не бойтесь;Вы не бойтесь
habe den Mut;habt den Mut;haben Sie den Mut;имей мужество;имейте мужество;имейте Вы мужество
Tanz gut;mach die Arbeit heute;Steh hier;танцуй хорошо;делай работу сегодня;стой здесь
spring hoch;arbeite jeden Tag;geh schnell;прыгай высоко;работай каждый день;иди быстро
Sitz ruhig;öffne die Tür;hör die Musik;сиди тихо;открой дверь;слушай музыку
sind das Lied;schreib den Satz;bestell eine Pizza;пой песню;напиши предложение;закажи пиццу
Kauf ein Auto;frag den Lehrer;antworte dem Lehrer;купи машину;спроси учителя;ответь учителю
iss die Suppe;lauf schnell;Fall nicht;ешь суп;иди быстрее;не упади
nimm mein Auto;trag meinen Hut nicht;sprich laut;возьми мою машину;не носи мою шляпу;говори громко
Schlaf heute nicht;vergiss dein Buch nicht;wasch dein Auto;не спи сегодня;не забудь свою книгу;помой свою машину
hilft deinem Freund;fahr vorsichtig;Fang die Katze;помоги своему другу;едь осторожно;лови кошку
lies das Buch;hilf deinen Eltern;gib mir dein Auto;читай книгу;помоги своим родителям;дай мне свою машину
null;;;моя 2;;0
Weswegen kommt die Chefin mit dem Fahrrad ins Büro? Wegen des schönen Wetters.;;;из-за чего начальница приехала в офис на велосипед? из-за хорошей погоды.;;
ich versuche heute kommen zu können;;;Я постараюсь сегодня смочь прийти;;
wir freuen uns, Ihnen helfen zu können;;;мы рады помочь вам помочь;;
ich lasse dich heute gewinnen;;;Я позволю тебе победить сегодня;;
ich lerne gerade Klavier spielen;;;Я очень сейчас играть на пианино;;
ich helfe dir Deutsch lernen;;;не помогаю тебе учить немецкий;;
ich bleibe liegen;;;я остаюсь лежать;;
Welche philosophischen Theorien findest du am faszinierendsten?;;;какие философские теории кажутся тебе наиболее увлекательными?;;
Was geht es hier vor?;Worum geht es hier?;;В чём здесь дело?;О чём здесь речь?;
Ich weiß das, denn ich komme daher, wo du herkommst.;;;Я знаю это, поскольку я пришёл оттуда, откуда ты пришёл.;;
sie hat viele Pech gehabt. Daher kommt ihre Unzufriedenheit.;;;Ей много не везло. Оттуда её неудовлетворённость.;;
Bist du auf der Post gewesen? Ja, daher komme ich gerade.;;;ты был на почте? да, оттуда Я сейчас иду.;;
Sie sind stets mit Leidenschaft bei der Sache und geben immer 100%;;;вы всегда увлечены своим делом и всегда выкладываетесь на 100%;;
das ist von dieser Vorlage abgearbeitet;;;это сделано поэтому образцу (оригиналу);;
Ich vermeide es, den Bereich zu betreten;;;я избегаю того, чтобы заходить в этот район;;
null;;;Subjektive Bedeutung von Modalverben, Futur 2 und dergleichen;;0
Er muss jetzt im Büro sein.;Er kann jetzt nur im Büro sein.;Er ist jetzt sicherlich im Büro.;Он должен быть сейчас в оффисе (уверенность почти 100%);;
Er muss im Büro gewesen sein.;;;Он должен был быть в бюро;;
Ihr müsstet jetzt im Büro sein.;Ihr seid jetzt sehr wahrscheinlich im Büro.;;Вы (множественное число) должно быть сейчас в офисе (уверенность около 80%);;
Ihr müsstet im Büro gewesen sein.;Ihr wart sehr wahrscheinlich im Büro.;;Вы (множественное число), должно быть, были в офисе.;;
Er dürfte jetzt im Büro sein.;Er ist jetzt wahrscheinlich im Büro.;;Он наверное сейчас в офисе (уверенность около 75%);;
Er dürfte im Büro gewesen sein.;Er wird im Büro gewesen sein. (Futur 2);;Он наверное был в офисе (уверенность около 75%);;
Er kann jetzt im Büro sein.;Er ist jetzt vielleicht im Büro.;;Он может быть сейчас в офисе (уверенность около 50%);;
Er könnte jetzt im Büro sein.;Er ist jetzt möglicherweise im Büro.;;Он мог бы быть сейчас в офисе (уверенность около 40%);;
Er mag jetzt im Büro sein.;Er ist jetzt vielleicht im Büro.;;Авось он сейчас в офисе (уверенность около 30%);;
Karlos soll zu seinen Verwandten nach Spanien fahren.;;;Говорят, что Карлос поедет к своим родственникам в Испанию. (передача информации от другого лица);;
Karlos soll zu seinen Verwandten nach Spanien gefahren sein.;;;Говорят, что Карлос поехал к своим родственникам в Испанию. (передача информации от другого лица);;
Maria will in der Ferien zu Hause bleiben.;;;Мария, по ее словам, на каникулах останется дома. (доля сомнения в ее словах);;
Maria will in der Ferien zu Hause geblieben sein.;;;Мария, по ее словам, на каникулах осталась дома. (доля сомнения в ее словах);;
Ich habe ihn schon lange nocht mehr gesehen, wird er nach Hause geflogen sein.;;;Я давное его уже не видел: наверное он улетел домой. Футур 2.;;
Du siehst sehr müde aus, du wirst wohl wenig geschlafen haben.;;;Ты выдглядишь очень усталым: должно быть ты мало спал. Футур 2.;;
null;;;Wortfamilie NEHMEN Verben;;0
Er nimmt ein Bad.;;;Он принимает ванну.;;
Nehmen Sie bitte Platz!;;;Пожалуйста, присаживайтесь!;;
Er nahm die Medikamente regelmäßig.;;;Он регулярно принимал лекарства.;;
Sie nahm das Kind bei der Hand.;;;Она взяла ребенка за руку.;;
Er hat zu viel Zucker genommen.;;;Он взял слишком много сахара.;;
Sie hat 5 Kilo abgenommen.;;;Она похудела на 5 кг.;;
Kann ich Ihnen den Mantel abnehmen?;;;Могу я взять у вас пальто?;;
Die Tage nehmen im Winter ab.;;;Дни зимой становятся короче.;;
Ich nehme an, dass er morgen kommt.;;;Я предполагаю, что он придет завтра.;;
Sie hat das Geschenk angenommen.;;;Она приняла подарок.;;
Das Ehepaar will ein Kind annehmen.;;;Супружеская пара хочет усыновить ребенка.;;
Die Universität nimmt neue Studenten auf.;;;Университет принимает новых студентов.;;
Ich nehme das Konzert auf.;;;Я записываю концерт.;;
Er hat ein schönes Foto von der Landschaft aufgenommen.;;;Он сделал красивый снимок пейзажа.;;
Der Koch nimmt den Fisch aus.;;;Повар потрошит рыбу.;;
Dich nehme ich von der Regel aus.;;;Тебя я исключаю из правила.;;
Das Haus nimmt sich gut aus.;;;Дом хорошо выглядит.;;
Du benimmst dich unmöglich!;;;Ты ведешь себя невозможно!;;
Die Kinder haben sich gut benommen.;;;Дети хорошо себя вели.;;
Wir nehmen das Kapitel morgen durch.;;;Мы прорабатываем эту главу завтра.;;
Der Lehrer hat den Stoff gründlich durchgenommen.;;;Учитель тщательно проработал материал.;;
Ich nehme täglich Vitamine ein.;;;Я ежедневно принимаю витамины.;;
Die Touristen nahmen alle Plätze ein.;;;Туристы заняли все места.;;
Seine Persönlichkeit nimmt mich für ihn ein.;;;Его личность располагает меня к нему.;;
Wir können der Tabelle folgende Daten entnehmen.;;;Из таблицы мы можем извлечь следующие данные.;;
Der Arzt hat Blut entnommen.;;;Врач взял кровь.;;
Die Idee wurde einem Roman entnommen.;;;Идея была заимствована из романа.;;
Nimm einen Regenschirm mit!;;;Возьми с собой зонт!;;
Die Reise hat ihn sehr mitgenommen.;;;Путешествие его очень утомило.;;
Wir übernehmen die Kosten.;;;Мы берем на себя расходы.;;
Sie hat die Firma von ihrem Vater übernommen.;;;Она переняла фирму от своего отца.;;
Sie hat alles unternommen, um zu helfen.;;;Она сделала всё, чтобы помочь.;;
Die Polizei hat den Zeugen vernommen.;;;Полиция допросила свидетеля.;;
Wie ich vernehme, ist er krank.;;;Как я слышу, он болен.;;
Ich habe mir vorgenommen, mehr Sport zu treiben.;;;Я намерен заниматься больше спортом.;;
Die Regierung nimmt Änderungen am Gesetz vor.;;;Правительство вносит (предпринимает, осуществляет) изменения в закон.;;
Er hat mir mein Buch weggenommen.;;;Он отобрал у меня мою книгу.;;
Die Hausaufgaben nehmen viel Zeit weg.;;;Домашние задания отнимают много времени.;;
Ich habe in den Ferien 3 Kilo zugenommen.;;;Я набрал 3 кг за время каникул.;;
Die Bedeutung des Internets nimmt ständig zu.;;;Значение интернета постоянно возрастает.;;
Der Wind nimmt zu.;;;Ветер усиливается.;;
Viele Menschen nahmen an der Demonstration teil.;;;Многие люди приняли участие в демонстрации.;;
null;;;Wortfamilie NEHMEN Nomen;;0
Die Abnahme der Produktion bereitet uns Sorgen.;;;Снижение производства вызывает у нас беспокойство.;;
Die Abnahme des Neubaus findet nächste Woche statt.;;;Приёмка нового здания состоится на следующей неделе.;;
Ihre Annahme ist falsch.;;;Ваше предположение неверно.;;
Die Annahme des Pakets erfolgt zwischen 8 und 18 Uhr.;;;Прием посылки осуществляется между 8 и 18 часами.;;
Die Aufnahme in den Verein ist kostenlos.;;;Прием в клуб бесплатный.;;
Die Aufnahme des Albums dauerte zwei Monate.;;;Запись альбома заняла два месяца.;;
Das ist eine schöne Aufnahme vom Strand.;;;Это красивый снимок пляжа.;;
Es gibt keine Regel ohne Ausnahme.;;;Нет правила без исключения.;;
Sein Benehmen lässt zu wünschen übrig.;;;Его поведение оставляет желать лучшего.;;
Die regelmäßige Einnahme der Medikamente ist wichtig.;;;Регулярный прием лекарств важен.;;
Die Einnahmen des Konzerts gehen an wohltätige Zwecke.;;;Доходы от концерта идут на благотворительные цели.;;
Die Entnahme von Wasser aus dem Fluss ist verboten.;;;Забор воды из реки запрещен.;;
Für die Entnahme vom Konto benötigen Sie Ihre PIN.;;;Для снятия со счета вам нужен ваш PIN-код.;;
Die Mitnahme von Haustieren ist nicht erlaubt.;;;Взятие с собой домашних животных не разрешается.;;
Speisen zur Mitnahme.;;;Еда на вынос.;;
Die Übernahme der Firma steht kurz bevor.;;;Поглощение фирмы предстоит в ближайшее время.;;
Er lehnte die Übernahme der Verantwortung ab.;;;Он отказался брать на себя ответственность.;;
Er arbeitet in einem internationalen Unternehmen.;;;Он работает в международной компании.;;
Das Unternehmen hat 200 Mitarbeiter.;;;В компании работают 200 сотрудников.;;
Der Anwalt war bei der Vernehmung anwesend.;;;Адвокат присутствовал на допросе.;;
Die Vornahme dieser Operation erfordert spezielle Ausbildung.;;;Проведение данной операции требует специальной подготовки.;;
Die Vornahme der notwendigen Änderungen.;;;Внесение необходимых изменений.;;
Die Wegnahme von Eigentum ohne gerichtlichen Beschluss ist illegal.;;;Изъятие имущества без судебного постановления незаконно.;;
Nach der Wegnahme seines Spielzeugs weinte das Kind.;;;После отнятия его игрушки ребенок заплакал.;;
Die Zunahme der Kriminalität bereitet Sorgen.;;;Рост преступности вызывает беспокойство.;;
Vielen Dank für Ihre Teilnahme!;;;Большое спасибо за ваше участие!;;
China ist der größte Abnehmer für deutsche Autos.;;;Китай является крупнейшим потребителем немецких автомобилей.;;
Als Arbeitnehmer hat man Anspruch auf Urlaub.;;;Как работник, вы имеете право на отпуск.;;
Als Unternehmer trägt man viel Verantwortung.;;;Как предприниматель, вы несете большую ответственность.;;
Das Unternehmertum wird vom Staat gefördert.;;;Предпринимательство поддерживается государством.;;
Die Unternehmensführung liegt in guten Händen.;;;Управление предприятием находится в хороших руках.;;
Die Unternehmenskultur spiegelt die Werte der Firma wider.;;;Корпоративная культура отражает ценности компании.;;
Die Teilnehmer diskutierten lebhaft.;;;Участники оживленно дискутировали.;;
Die Teilnehmergebühr deckt Verpflegung und Unterlagen.;;;Плата за участие покрывает питание и материалы.;;
Bitte tragen Sie sich in die Teilnehmerliste ein.;;;Пожалуйста, занесите себя в список участников.;;
In dieser Ausnahmesituation müssen wir flexibel reagieren.;;;В этой исключительной ситуации мы должны реагировать гибко.;;
Das ist nur im Ausnahmefall erlaubt.;;;Это разрешено только в исключительном случае.;;
Es gibt eine Ausnahmeregelung für Studenten.;;;Существует исключительное правило для студентов.;;
In der Stadt wurde der Ausnahmezustand verhängt.;;;В городе было введено чрезвычайное положение.;;
null;;;Wortfamilie NEHMEN Adjektive, Adverbien;;0
Das ist ein annehmbarer Vorschlag.;;;Это приемлемое предложение.;;
Der Preis ist durchaus annehmbar.;;;Цена вполне приемлемая.;;
Diese Bedingungen sind für uns unannehmbar.;;;Эти условия для нас неприемлемы.;;
Das aufnehmende Land muss die Flüchtlinge versorgen.;;;Принимающая страна должна обеспечивать беженцев.;;
Die aufnehmende Kamera erfasst jedes Detail.;;;Записывающая камера фиксирует каждую деталь.;;
Seine einnehmende Art machte ihn beliebt.;;;Его обаятельный характер делал его популярным.;;
Unternehmerisches Handeln ist gefragt.;;;Требуются предпринимательские действия.;;
Sie blickte teilnehmend auf den Verletzten.;;;Она сочувственно смотрела на раненого.;;
Die teilnehmenden Länder unterzeichneten das Abkommen.;;;Участвующие страны подписали соглашение.;;
Alle waren anwesend, ausgenommen Peter.;;;Все присутствовали, за исключением Петера.;;
Der vernommene Zeuge bestätigte die Aussage.;;;Допрошенный свидетель подтвердил показания.;;
Eine voreingenommene Berichterstattung.;;;Предвзятое освещение.;;
null;;;Wortfamilie NEHMEN Aussage;;0
Wir müssen dieses Projekt endlich in Angriff nehmen.;;;Нам нужно наконец приступить к этому проекту.;;
Er nahm Abschied von seiner Familie.;;;Он попрощался со своей семьей.;;
Die Gäste nahmen an der langen Tafel Platz.;;;Гости заняли места за длинным столом.;;
Ich möchte nicht zu viel von Ihrer Zeit in Anspruch nehmen.;;;Я не хочу занимать слишком много вашего времени.;;
Diese Nachteile müssen wir in Kauf nehmen.;;;С этими недостатками нам придется смириться.;;
Ich nehme Ihre Beschwerde zur Kenntnis.;;;Я принимаю вашу жалобу к сведению.;;
Er nimmt immer Rücksicht auf meine Wünsche.;;;Он всегда считается с моими желаниями.;;
Ich nehme Bezug auf Ihren Brief vom 10. Mai.;;;Я ссылаюсь на ваше письмо от 10 мая.;;
Er schwor, Rache zu nehmen.;;;Он поклялся отомстить.;;
Alle Faktoren wurden in Betracht genommen.;;;Все факторы были приняты во внимание.;;
Nimm dir Zeit für deine Familie.;;;Уделяй время своей семье.;;
Er nimmt es mit den Regeln sehr genau.;;;Он очень строго придерживается правил.;;
Sie nimmt es mit der Pünktlichkeit nicht so genau.;;;Она не слишком пунктуальна.;;
null;;;Wortfamilie GEBEN Verben;;0
Ich gebe dir das Buch.;Sie gibt eine Party am Samstag.;;Я даю тебе книгу.;Она устраивает вечеринку в субботу.;
Es gibt viele Probleme zu lösen.;;;Существует много проблем, которые нужно решить.;;
Was gibt es Neues?;Es gibt Ärger;;Что нового?;Назревают проблемы.;
Sie müssen den Antrag bis morgen abgeben.;;;Вы должны сдать заявление до завтра.;;
Ich gebe die Verantwortung an dich ab.;;;Я передаю ответственность тебе.;;
Der Motor gibt seltsame Geräusche ab.;;;Двигатель издаёт странные звуки.;;
Die Blumen geben einen angenehmen Duft ab.;;;Цветы источают приятный аромат.;;
Bitte geben Sie Ihren Namen an.;;;Пожалуйста, укажите своё имя.;;
Er gibt gerne mit seinem neuen Auto an.;;;Он любит хвастаться своей новой машиной.;;
Sie hat den Kampf aufgegeben.;;;Она сдалась в борьбе.;;
Er musste seinen Traum aufgeben.;;;Ему пришлось отказаться от своей мечты.;;
Der Lehrer gibt viele Hausaufgaben auf.;;;Учитель задаёт много домашних заданий.;;
Sie hat eine Anzeige aufgegeben.;;;Она подала объявление.;;
Wir haben alles für den Urlaub ausgegeben.;;;Мы потратили всё на отпуск.;;
Er gibt sich als Arzt aus.;;;Он выдаёт себя за врача.;;
Sie begab sich zum Flughafen.;;;Она отправилась в аэропорт.;;
Wir begeben uns in Gefahr.;;;Мы подвергаем себя опасности.;;
Kannst du mir die Zahlen durchgeben?;;;Можешь передать мне цифры?;;
Die Nachricht wurde sofort durchgegeben.;;;Сообщение было немедленно передано.;;
Bitte geben Sie Ihr Passwort ein.;;;Пожалуйста, введите ваш пароль.;;
Wer hat dir diese Idee eingegeben?;;;Кто внушил тебе эту идею?;;
Zwei plus zwei ergibt vier.;;;Два плюс два равно четырем.;;
Die Untersuchung ergab keine Hinweise.;;;Исследование не дало никаких подсказок.;;
Die Soldaten haben sich ergeben.;;;Солдаты сдались.;;
Er ergab sich seinem Schicksal.;;;Он смирился со своей судьбой.;;
Daraus ergibt sich eine neue Frage.;;;Из этого вытекает новый вопрос.;;
Es ergab sich zufällig, dass wir uns trafen.;;;Случайно получилось так, что мы встретились.;;
Die Straße wurde für den Verkehr freigegeben.;;;Дорога была открыта для движения.;;
Der Chef hat meinen Urlaub freigegeben.;;;Босс одобрил мой отпуск.;;
Die Regierung hat die Gelder freigegeben.;;;Правительство выделило средства.;;
Er will sein Buch nicht hergeben.;;;Он не хочет отдавать свою книгу.;;
Diese Situation gibt nicht viel her.;;;Эта ситуация не даёт много возможностей.;;
Der Boden gibt gute Ernte her.;;;Почва даёт хороший урожай.;;
Er hat sich der Musik hingegeben.;;;Он посвятил себя музыке.;;
Sie gibt sich ganz ihrer Arbeit hin.;;;Она полностью отдаётся своей работе.;;
Ich kann dieses Buch nicht hingeben.;;;Я не могу отдать эту книгу.;;
Nach langem Streit hat er nachgegeben.;;;После долгого спора он уступил.;;
Das Material gibt unter Druck nach.;;;Материал прогибается под давлением.;;
Sie gab seinen Bitten nach.;;;Она уступила его просьбам.;;
Er wollte sein Geheimnis nicht preisgeben.;;;Он не хотел раскрывать свой секрет.;;
Die Firma hat vertrauliche Informationen preisgegeben.;;;Компания раскрыла конфиденциальную информацию.;;
Sie hat ihre Privatsphäre preisgegeben.;;;Она отказалась от своей частной жизни.;;
Der Minister übergab dem Sieger die Medaille.;;;Министр вручил победителю медаль.;;
Sie hat mir die Verantwortung übergeben.;;;Она передала мне ответственность.;;
Ihm war so übel, dass er sich übergeben musste.;;;Ему было так плохо, что его вырвало.;;
Das Kind hat sich vor Aufregung übergeben.;;;Ребёнка вырвало от волнения.;;
Das Haus ist von einem Garten umgeben.;;;Дом окружён садом.;;
Sie umgab sich mit guten Freunden.;;;Она окружила себя хорошими друзьями.;;
Die Stadt ist von Bergen umgeben.;;;Город окружён горами.;;
Ich habe ihm seine Fehler vergeben.;;;Я простил ему его ошибки.;;
Kannst du mir vergeben?;;;Можешь ли ты меня простить?;;
Die Stellen wurden bereits vergeben.;;;Места уже были распределены.;;
Sie vergab die Rollen in dem Theaterstück.;;;Она распределила роли в спектакле.;;
Er gibt vor, reich zu sein.;;;Он делает вид, что богат.;;
Sie gab vor, nichts davon zu wissen.;;;Она притворилась, что ничего об этом не знает.;;
Der Trainer gibt die Strategie vor.;;;Тренер определяет стратегию.;;
Bitte gib diese Information an deine Kollegen weiter.;;;Пожалуйста, передай эту информацию своим коллегам.;;
Die Tradition wurde von Generation zu Generation weitergegeben.;;;Традиция передавалась из поколения в поколение.;;
Er hat das Geschenk weitergegeben.;;;Он передал подарок дальше.;;
Der CD-Player gibt die Musik perfekt wieder.;;;CD-плеер превосходно воспроизводит музыку.;;
Kannst du seine Worte genau wiedergeben?;;;Можешь ли ты точно передать его слова?;;
Der Film gibt die Atmosphäre des Buches gut wieder.;;;Фильм хорошо передаёт атмосферу книги.;;
Er musste zugeben, dass er einen Fehler gemacht hat.;;;Он должен был признать, что совершил ошибку.;;
Sie gab zu, gelogen zu haben.;;;Она призналась, что солгала.;;
Gib etwas Salz zu der Suppe zu.;;;Добавь немного соли в суп.;;
Zucker langsam zugeben und rühren.;;;Медленно добавлять сахар и помешивать.;;
Der Pfarrer hat das Paar zusammengegeben.;;;Священник обвенчал пару.;;
Wir geben unsere Ressourcen zusammen.;;;Мы объединяем наши ресурсы.;;
null;;;Wortfamilie GEBEN Nomen;;0
Er ist ein großzügiger Geber.;;;Он щедрый даритель.;;
Wir suchen noch Blutgeber.;;;Мы всё ещё ищем доноров крови.;;
Das ist eine schwierige Aufgabe.;;;Это сложная задача.;;
